time,delta_D,curvat_trans,u,ay
225.80000000000018,-0.783796602110778,-0.0015786346080493541,88.72733788787193,-12.427864868682015
225.85000000000036,-0.7732116772534441,-0.0015764024072392072,88.7146010496872,-12.406729030325943
225.89999999999964,-0.7623520339689207,-0.0015739662247544186,88.70235024769396,-12.384134575473094
225.94999999999982,-0.7512215306367576,-0.0015713106532622063,88.69060074044103,-12.359965203989026
226.0,-0.7398241218717956,-0.0015684198406198755,88.6793685710731,-12.334101322539631
226.05000000000018,-0.7281638571190795,-0.0015652760107636996,88.66867043825434,-12.306408361921353
226.10000000000036,-0.7162448792151732,-0.001561859515803732,88.65852381054799,-12.27673721206021
226.14999999999964,-0.7040714229161668,-0.0015581488345465166,88.64894691074691,-12.244924194796738
226.19999999999982,-0.6916478133931171,-0.001554123262936899,88.63995807849987,-12.210812011410852
226.25,-0.6789784646953392,-0.0015497607776392883,88.63157471131973,-12.1742326308432
226.30000000000018,-0.6660678781820761,-0.001545031281809364,88.62381540678281,-12.1349548084418
226.35000000000036,-0.6529206409232633,-0.001539907235919795,88.61669953536334,-12.092767463424478
226.39999999999964,-0.6395414240696893,-0.0015343582381269736,88.61024689850653,-12.047436967681376
226.44999999999982,-0.6259349811933951,-0.0015283507938537212,88.6044778365332,-11.998705332894541
226.5,-0.6121061465987542,-0.001521857594209957,88.59941293751697,-11.946362925770634
226.55000000000018,-0.5980598336048263,-0.001514847906229268,88.59506958385792,-11.890172030031003
226.60000000000036,-0.583801032799759,-0.0015072714590254263,88.59146701090599,-11.829741708959235
226.64999999999964,-0.5693348102675759,-0.0014990871396759803,88.58862537567552,-11.764752741726566
226.69999999999982,-0.5546663057882593,-0.0014902479292656183,88.58656524373984,-11.69483916174088
226.75,-0.539800731011614,-0.0014807003857143105,88.58530789266028,-11.619584202747296
226.80000000000018,-0.5247433676055477,-0.0014704123501643517,88.58487327968368,-11.538737094851607
226.85000000000036,-0.5094995653796075,-0.0014593008281245598,88.58528040460179,-11.451647132620199
226.89999999999964,-0.49407474038412985,-0.0014473003729493948,88.58655028131072,-11.357800960721676
226.94999999999982,-0.47847437298598944,-0.001434337292679451,88.58870394325105,-11.25661949967804
227.0,-0.46270400592144795,-0.0014203289943057694,88.59176261946133,-11.147452685654395
227.05000000000018,-0.4467692423268046,-0.0014052019705308365,88.59574650212696,-11.02972015743085
227.10000000000036,-0.4306757437477156,-0.0013888477268869236,88.6006743697302,-10.902565067749697
227.14999999999964,-0.41442922812758654,-0.0013711641434854206,88.60656507827711,-10.765178857840418
227.19999999999982,-0.39803546777605764,-0.001352041080227353,88.61343616379729,-10.616687700913626
227.25,-0.38150028731812996,-0.001331374573148646,88.62130355674451,-10.456263674506577
227.30000000000018,-0.3648295616246583,-0.0013091060144321623,88.6301757174467,-10.28343101046861
227.35000000000036,-0.348029213725129,-0.0012850712684148258,88.64005801058113,-10.096881911296288
227.39999999999964,-0.3311052127031462,-0.001259165531865304,88.65095455712753,-9.895771519120148
227.44999999999982,-0.3140635715756865,-0.001231269717425602,88.66286676235949,-9.679139229959775
227.5,-0.2969103451567061,-0.0012013161760226797,88.67579268286907,-9.446425063067926
227.55000000000018,-0.27965162790584563,-0.0011691699363062373,88.68972187915217,-9.196534946968333
227.60000000000036,-0.2622935517631942,-0.001134681338914904,88.70464339553116,-8.928255728385846
227.64999999999964,-0.2448422839705434,-0.0010977176933635615,88.72054331861095,-8.6405034877574
227.69999999999982,-0.22730402488024287,-0.0010581223790565818,88.7374050136377,-8.332001670085944
227.75,-0.2096850057522478,-0.0010157161347093902,88.75520867786831,-8.001290715375504
227.80000000000018,-0.1919914865401284,-0.0009703085325287301,88.7739305032314,-7.64681790134791
227.85000000000036,-0.17422975366704144,-0.0009216951741110233,88.79354175816798,-7.266914862798332
227.89999999999964,-0.15640611779209249,-0.0008696683541764023,88.8140079406911,-6.859881367265362
227.94999999999982,-0.13852691156823782,-0.0008144058369386329,88.83528323498996,-6.427052690048523
228.0,-0.12059848739232581,-0.0007556236630992195,88.85730768970933,-5.96611816059119
228.05000000000018,-0.102627215148066,-0.0006932978036818019,88.88002026641678,-5.476815543011288
228.10000000000036,-0.08461947994294715,-0.0006273793505838715,88.90335629261165,-4.958685152286336
228.14999999999964,-0.06658167983952894,-0.00055847868020381,88.9272433552129,-4.416479901995367
228.19999999999982,-0.04852022358230068,-0.000486673795300401,88.95158706621581,-3.850750360738139
228.25,-0.030441528320679114,-0.0004121091904776108,88.97629374628629,-3.262578146798098
228.30000000000018,-0.012352017328975158,-0.00033514378705993663,89.00126825240757,-2.654749596191663
228.35000000000036,0.0057418822756599135,-0.0002567067406995274,89.02641138716056,-2.0345811087881938
228.39999999999964,0.023833741816863097,-0.00017775881119398086,89.05161018998689,-1.4096610184991
228.44999999999982,0.04191713334308592,-9.8488408124571e-05,89.07675491867374,-0.7814728465977648
228.5,0.05998563191141463,-1.967130578913235e-05,89.10174329179002,-0.1561728701531762
228.55000000000018,0.07803281787037485,5.867368066796996e-05,89.12647768201091,0.4660760853310438
228.60000000000036,0.09605227914069747,0.00013757654131747282,89.15085754776167,1.0934412085607688
228.64999999999964,0.11403761349360611,0.00021636661064568152,89.17477288083262,1.720577604786523
228.69999999999982,0.13198243082544361,0.0002951836942936771,89.1981048178109,2.348570588669678
228.75,0.14988035542804898,0.00037354058485064004,89.22073299789403,2.9735097591378805
228.80000000000018,0.16772502825406455,0.00045179189215066855,89.24253509834294,3.5981745732004846
228.85000000000036,0.18551010917617333,0.0005282711326594183,89.26338865342171,4.209239320620934
228.89999999999964,0.20322927923981973,0.0006024037397071622,89.28318452795642,4.802053603593733
228.94999999999982,0.220876242908252,0.0006734544281848451,89.30183101648329,5.370675838033557
229.0,0.23844473029929852,0.0007410933945737131,89.3192550576682,5.912390724434412
229.05000000000018,0.255928499413072,0.000804706424925225,89.33539651558,6.422211554035737
229.10000000000036,0.2733213383496277,0.0008640667537582223,89.35021777200978,6.89824358939555
229.14999999999964,0.2906170675161192,0.0009191364478554538,89.36370005434759,7.340105000480245
229.19999999999982,0.30780954182232984,0.0009699814102268845,89.37584162695134,7.748251338659048
229.25,0.324892652863993,0.0010167663454465103,89.38665396537566,8.123936569761282
229.30000000000018,0.34186033109312775,0.0010597346697369572,89.39615778122575,8.469052974902405
229.35000000000036,0.35870654797442364,0.0010991760163365746,89.4043792233251,8.785871107467484
229.39999999999964,0.37542531812724744,0.001135402583012384,89.41134717231844,9.076849923803717
