time,mass,P_covariance,Tyf_engine,Tyf_brake,Tyr_brake,theta,vx,ax,ay,steer,flag_new_dataset
2.000000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,1.349592710451956009e+03,0.000000000000000000e+00,-0.000000000000000000e+00,1.808067664214655323e+01,-1.045904876088217472e+00,-1.444992854089984791e+00,1.492984371311232572e-01,0.000000000000000000e+00
2.100000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.439961520543598050e+00,1.392310113298039596e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.683540940772700623e+01,-1.147334780498472595e+00,2.095186514024689195e-01,6.126596215015932961e-02,0.000000000000000000e+00
2.200000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,1.396973616890209769e+03,0.000000000000000000e+00,-0.000000000000000000e+00,1.578868799168077430e+01,-1.118633263935352229e+00,-6.278344624193064882e-02,1.279559708586184771e-02,0.000000000000000000e+00
2.300000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,1.352050944431848620e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.466926997889349593e+01,-1.116992646902180919e+00,-2.201495931737143183e-02,2.059025956990724951e-02,0.000000000000000000e+00
2.400000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.861917927560111929e-01,1.241983275173306311e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.349225652443996815e+01,-9.794262518130347761e-01,-8.750968371773652776e-02,-6.472396370493454544e-03,0.000000000000000000e+00
2.500000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,1.096925743459499472e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.278179918593532705e+01,-8.573124950629817942e-01,1.398029141555932886e-01,-7.728119999927375583e-02,0.000000000000000000e+00
2.600000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.133131763502588818e+00,9.233191962611363124e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.197167483542834177e+01,-7.394074567663976305e-01,2.317010628560025320e-01,-1.335399036135890560e-01,0.000000000000000000e+00
2.700000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.656749433000652028e+00,6.882338328154399960e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.117752243186799355e+01,-5.764894171053890348e-01,3.516149080316931519e-01,-1.930071319544962027e-01,0.000000000000000000e+00
2.800000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,0.000000000000000000e+00,3.029129784850935536e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.088907096211330661e+01,-1.935395069207983543e-01,4.194213766847900149e-01,-2.893547977944576632e-01,0.000000000000000000e+00
2.900000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.309386595744594572e+01,7.336056984071514186e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.080125201264194779e+01,-6.699357370875154427e-02,4.942171003741312463e-01,-3.196306634184211681e-01,0.000000000000000000e+00
3.000000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.861604497896704657e+01,2.498620195489768658e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.074194326263274490e+01,-4.193537552973097653e-03,4.666128922098867204e-01,-3.997377149012231734e-01,0.000000000000000000e+00
3.100000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,1.959262034242910389e+01,7.670894436373776326e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.090302759397691901e+01,2.257034439201600212e-02,5.274885039687224886e-01,-3.396417416030043657e-01,0.000000000000000000e+00
3.200000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,2.063592652119434590e+01,2.839987028598229379e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.075336493922272219e+01,-6.205512565168500722e-02,1.542837199198324738e+00,-1.079159638461755000e+00,0.000000000000000000e+00
3.300000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,2.718097620335577957e+01,9.067615256756740294e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.072751620750330837e+01,-6.525053280083645268e-02,2.389505975749113720e+00,-1.684564405525320607e+00,0.000000000000000000e+00
3.400000000000000000e+01,4.250220000000000255e+03,1.000000000000000000e+02,2.874322310428934912e+01,6.513777675843400061e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.067847744131669252e+01,-1.082231570069119020e-01,2.703433151493974673e+00,-2.010015040805094966e+00,0.000000000000000000e+00
